person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,decile_score
80,Male,African-American,24,0,0,0,2,4
81,Male,African-American,27,0,0,0,0,5
82,Male,Caucasian,32,0,0,0,3,8
83,Male,Hispanic,30,0,0,0,0,7
84,Male,African-American,49,0,0,0,4,1
85,Male,Caucasian,53,0,0,0,8,5
86,Female,Hispanic,31,0,0,0,0,1
88,Male,African-American,63,0,0,0,10,7
89,Male,African-American,33,0,0,0,2,1
90,Male,African-American,27,1,1,2,15,10
91,Male,Caucasian,38,0,0,0,4,2
92,Male,Caucasian,46,3,1,0,9,6
93,Male,African-American,22,0,0,1,1,4
94,Female,Caucasian,34,0,0,0,0,1
95,Male,African-American,22,0,1,2,2,10
96,Male,African-American,29,0,0,0,4,9
97,Male,Hispanic,62,0,0,0,0,1
98,Male,African-American,27,0,1,0,6,6
99,Male,Other,33,0,0,0,0,1
100,Female,African-American,56,0,0,0,0,1
101,Male,Hispanic,45,0,0,0,6,1
102,Male,Hispanic,22,0,0,0,1,4
103,Female,Caucasian,31,0,0,0,2,3
104,Male,African-American,34,0,0,0,0,4
105,Male,African-American,39,0,0,0,1,4
106,Male,African-American,24,0,1,0,4,6
107,Male,African-American,29,0,0,0,5,6
108,Male,Caucasian,27,0,0,1,1,6
110,Female,Hispanic,24,0,0,0,1,4
112,Male,African-American,51,0,0,0,1,1
113,Male,African-American,22,0,0,0,1,3
117,Female,African-American,59,0,0,0,2,1
118,Male,Caucasian,32,0,0,0,3,1
119,Male,African-American,32,0,0,0,0,2
120,Male,African-American,41,0,0,0,1,2
121,Male,Caucasian,50,0,0,0,0,1
126,Male,Caucasian,22,0,0,0,3,6
127,Male,Other,50,0,0,0,0,1
130,Male,Other,20,0,0,0,0,5
131,Male,African-American,22,1,0,0,2,9
132,Male,African-American,23,0,0,1,2,7
134,Male,Caucasian,40,0,0,0,4,5
135,Male,African-American,25,0,0,0,10,7
136,Female,African-American,35,0,0,0,1,2
138,Male,Caucasian,26,0,0,0,7,8
139,Male,Other,21,0,0,0,1,6
141,Male,Caucasian,30,0,0,1,6,5
142,Male,Caucasian,25,0,0,0,9,8
143,Male,African-American,71,0,0,0,12,7
145,Female,Caucasian,20,0,0,0,0,7
146,Male,Caucasian,39,0,0,0,2,1
147,Male,Caucasian,66,0,0,0,3,1
148,Female,Caucasian,54,0,0,0,0,1
151,Male,African-American,19,0,0,0,1,4
153,Male,African-American,30,0,0,0,1,2
155,Female,African-American,32,0,0,0,8,3
156,Male,Caucasian,24,0,1,2,8,6
157,Male,Caucasian,30,0,0,0,0,4
159,Female,Caucasian,39,0,0,0,1,4
160,Male,African-American,59,0,0,0,14,9
161,Male,Caucasian,35,0,0,0,7,6
162,Female,Other,24,0,0,0,0,3
163,Male,Caucasian,43,0,0,0,1,1
165,Female,African-American,21,0,0,0,0,4
167,Male,African-American,27,0,0,0,0,7
168,Male,African-American,20,0,0,0,0,8
169,Male,Caucasian,38,0,0,0,5,4
171,Male,Caucasian,34,0,0,0,0,5
172,Male,African-American,30,0,0,0,3,3
173,Male,African-American,33,0,0,0,5,5
174,Male,African-American,37,0,0,0,3,2
175,Male,Caucasian,42,0,0,0,1,2
176,Male,African-American,41,0,1,0,10,9
178,Male,African-American,33,0,12,2,28,8
179,Male,Caucasian,44,0,0,0,0,1
181,Male,African-American,26,0,0,0,9,8
182,Female,Other,30,0,0,0,1,2
185,Female,Caucasian,31,0,0,0,1,2
186,Male,Hispanic,47,0,0,0,2,1
187,Male,African-American,56,0,0,0,8,9
189,Male,Caucasian,52,0,0,0,3,9
190,Male,African-American,33,0,0,0,19,10
192,Female,Caucasian,64,0,0,0,2,1
193,Male,Caucasian,22,0,0,0,4,6
194,Male,Caucasian,42,0,0,0,6,3
195,Female,Caucasian,25,0,0,0,2,4
196,Male,Caucasian,27,0,0,0,0,1
197,Male,Caucasian,30,0,0,0,1,2
199,Male,Caucasian,28,0,0,0,2,1
200,Female,Other,37,0,0,0,2,2
201,Male,Caucasian,21,0,0,0,1,5
202,Male,Caucasian,28,0,0,0,0,2
203,Female,African-American,24,0,0,0,0,2
205,Male,African-American,22,0,0,0,0,9
206,Female,Caucasian,29,0,1,0,10,4
208,Male,Caucasian,44,0,0,0,2,2
209,Female,Hispanic,30,0,0,0,4,5
211,Male,Hispanic,53,0,0,0,1,4
212,Male,Other,34,0,0,0,1,2
213,Male,Caucasian,31,0,0,0,2,3
214,Male,African-American,27,0,0,0,5,10
215,Male,African-American,31,0,0,0,1,2
216,Male,Caucasian,59,0,0,0,1,2
218,Female,Caucasian,45,0,0,0,4,4
219,Male,Caucasian,23,0,0,0,0,3
220,Female,African-American,20,1,0,0,1,10
222,Female,Caucasian,43,0,0,0,0,1
223,Male,African-American,38,1,1,0,9,8
224,Male,African-American,32,0,0,0,11,6
225,Male,African-American,33,0,0,0,8,5
226,Male,African-American,55,0,0,0,4,8
227,Female,African-American,31,0,0,0,0,3
228,Female,African-American,33,0,0,0,7,9
229,Male,African-American,27,0,0,0,2,9
230,Male,African-American,52,0,0,0,0,1
231,Female,African-American,20,0,0,0,0,6
233,Male,African-American,25,0,0,0,4,10
234,Female,African-American,61,0,0,0,1,1
236,Male,Hispanic,63,0,0,0,1,1
238,Female,African-American,32,0,0,0,4,10
239,Male,Hispanic,29,0,0,0,1,4
240,Female,Other,46,0,0,0,1,2
241,Female,African-American,26,0,0,0,2,4
242,Male,African-American,55,0,0,0,3,1
243,Male,Caucasian,39,1,0,0,1,4
244,Female,Caucasian,30,0,0,0,3,7
245,Male,African-American,30,0,0,0,1,7
246,Male,Caucasian,48,0,0,0,2,2
247,Male,Caucasian,33,0,0,0,0,1
248,Male,African-American,22,0,0,0,1,2
249,Male,Caucasian,46,0,0,0,6,1
251,Female,Caucasian,49,0,0,0,6,6
252,Male,Caucasian,31,0,0,0,0,5
254,Male,African-American,25,0,0,0,1,2
255,Male,African-American,31,0,0,0,3,3
256,Female,African-American,21,0,0,0,0,6
258,Female,African-American,32,0,0,0,5,7
259,Male,Hispanic,52,0,0,0,2,1
260,Male,African-American,62,0,0,0,8,4
261,Male,African-American,30,0,0,0,2,6
264,Male,Hispanic,31,0,0,0,8,9
265,Male,African-American,28,0,0,0,6,6
266,Male,Hispanic,54,0,0,0,2,1
267,Male,Hispanic,58,0,0,0,0,2
268,Male,Caucasian,78,0,0,0,1,1
269,Male,Caucasian,56,0,0,0,0,1
270,Male,Hispanic,21,0,0,0,1,10
271,Male,Other,24,0,0,0,0,2
273,Male,African-American,39,0,0,0,3,5
274,Male,Caucasian,35,0,0,0,0,1
275,Male,African-American,22,0,0,0,1,5
277,Male,African-American,47,0,0,0,23,8
279,Male,Hispanic,57,0,0,0,1,1
280,Female,Caucasian,38,0,0,0,2,5
281,Male,African-American,66,0,0,0,3,1
282,Male,Caucasian,45,0,0,0,8,4
283,Female,Caucasian,28,0,0,0,0,5
284,Male,Other,45,0,0,0,2,1
286,Male,African-American,32,0,0,0,13,10
287,Male,African-American,37,0,0,0,2,9
288,Male,Caucasian,39,0,0,0,0,4
289,Male,African-American,26,0,0,0,9,9
290,Male,African-American,25,0,0,0,3,8
292,Female,Caucasian,57,0,0,0,7,9
293,Male,African-American,23,0,0,0,0,3
294,Male,African-American,34,0,0,0,2,2
297,Female,African-American,23,0,0,0,1,4
298,Male,Other,36,0,0,0,2,3
299,Male,Caucasian,50,0,0,0,1,1
300,Female,Caucasian,37,0,0,0,0,3
301,Male,Caucasian,44,0,0,0,4,4
303,Male,Caucasian,31,0,0,0,1,1
304,Male,Other,24,0,0,0,5,5
305,Male,Other,40,0,0,0,3,1
306,Male,African-American,26,0,0,0,2,10
307,Male,Other,37,0,0,0,1,6
308,Male,African-American,27,0,0,0,0,2
309,Female,Caucasian,31,0,0,0,1,3
310,Female,African-American,28,0,0,0,0,8
311,Male,Caucasian,43,0,0,0,11,5
313,Female,Caucasian,28,0,0,0,7,9
315,Male,African-American,38,0,0,0,2,1
316,Male,Caucasian,27,0,0,0,2,4
318,Male,African-American,21,1,0,0,1,7
320,Male,African-American,38,0,0,0,15,9
321,Male,African-American,28,0,0,0,2,5
323,Male,Hispanic,28,0,0,0,0,2
324,Female,Other,24,0,0,0,1,2
325,Male,Caucasian,61,0,0,0,1,1
326,Female,Caucasian,51,0,0,0,0,1
327,Male,Caucasian,51,0,0,0,0,2
328,Male,Caucasian,20,0,0,1,0,4
329,Male,Other,36,0,0,0,1,1
330,Male,African-American,48,0,0,0,0,1
331,Male,Caucasian,37,0,0,0,4,3
333,Female,African-American,41,0,0,0,5,6
334,Male,African-American,27,0,0,0,11,10
336,Male,Other,33,0,0,0,4,4
337,Male,African-American,54,0,0,0,11,9
338,Male,African-American,23,0,0,0,2,9
339,Male,African-American,22,0,0,0,0,6
341,Female,African-American,26,0,0,0,2,4
342,Female,African-American,23,0,2,0,3,6
344,Male,African-American,41,0,0,0,0,1
345,Male,Caucasian,52,0,0,0,0,1
347,Male,Caucasian,43,0,0,0,13,4
348,Male,African-American,52,0,0,0,0,4
349,Male,Caucasian,28,0,0,0,1,1
350,Male,African-American,30,0,0,2,11,9
351,Male,Caucasian,28,0,0,0,1,5
353,Female,African-American,34,0,0,0,0,2
354,Male,African-American,22,0,0,0,0,4
355,Male,African-American,30,0,0,0,4,2
356,Male,Hispanic,25,0,0,0,4,4
358,Male,Caucasian,37,0,0,0,0,2
360,Male,African-American,26,0,1,0,4,8
361,Male,Caucasian,53,0,0,0,1,1
363,Male,Caucasian,44,0,0,0,8,5
365,Female,Other,30,0,0,0,0,1
368,Female,African-American,20,0,0,0,0,5
370,Female,Caucasian,33,0,0,0,0,2
371,Female,Caucasian,47,0,0,0,2,5
372,Female,Other,40,0,0,0,3,2
374,Male,Caucasian,36,0,0,0,8,7
375,Male,Caucasian,30,0,0,0,4,2
376,Male,African-American,22,0,0,0,3,9
379,Female,Hispanic,31,0,0,0,0,2
381,Male,Hispanic,23,0,0,1,1,6
383,Male,Hispanic,24,0,0,0,0,8
384,Male,African-American,29,0,0,0,1,3
385,Male,African-American,20,0,0,0,1,8
387,Male,Caucasian,39,0,0,0,1,2
388,Male,African-American,38,0,0,0,1,4
389,Male,Other,39,0,0,0,0,1
391,Male,African-American,18,2,0,0,2,10
392,Male,Caucasian,31,0,0,0,2,4
394,Male,Caucasian,31,0,0,0,0,2
395,Male,African-American,27,0,0,0,2,8
396,Male,African-American,20,0,0,0,0,8
398,Male,Hispanic,22,0,0,1,0,7
399,Female,African-American,52,0,0,0,0,1
400,Female,African-American,23,0,0,0,0,4
401,Male,African-American,20,1,0,0,1,7
402,Female,African-American,48,0,0,0,0,2
403,Male,African-American,66,0,0,0,8,6
404,Male,Caucasian,25,0,0,0,0,5
405,Male,Caucasian,27,0,0,0,0,6
406,Male,African-American,30,0,0,0,11,7
407,Male,African-American,22,0,1,1,3,10
408,Female,Caucasian,22,0,0,0,1,3
409,Male,African-American,35,0,0,0,2,10
410,Male,Caucasian,32,0,0,0,2,4
411,Female,African-American,41,0,0,0,2,3
412,Male,Caucasian,35,0,0,0,9,8
413,Male,African-American,43,0,0,0,0,1
414,Female,Other,25,0,0,0,0,2
415,Male,African-American,44,0,0,0,24,7
416,Male,African-American,52,0,0,0,3,6
417,Male,African-American,43,0,0,0,0,1
418,Male,African-American,37,0,0,0,0,1
420,Male,Other,47,0,0,0,1,1
421,Female,Caucasian,45,0,0,0,3,1
422,Male,African-American,23,0,0,0,2,4
424,Male,African-American,28,0,0,0,3,4
425,Male,Caucasian,70,0,0,0,1,1
426,Male,Caucasian,54,0,0,0,6,2
427,Male,Caucasian,58,0,0,0,9,7
429,Male,African-American,21,0,0,0,0,9
430,Male,African-American,26,0,0,0,1,8
431,Male,Hispanic,38,0,0,0,3,1
432,Male,Caucasian,34,0,0,0,5,4
434,Male,African-American,19,0,0,0,1,5
436,Female,African-American,32,0,0,0,3,4
438,Male,African-American,34,0,0,0,5,4
439,Male,African-American,30,0,0,0,2,1
440,Male,African-American,39,0,0,0,6,3
441,Male,Other,24,0,0,0,0,3
442,Male,Caucasian,33,0,0,0,1,3
443,Male,Caucasian,33,0,0,0,0,2
444,Male,Caucasian,40,0,0,0,6,4
445,Male,Caucasian,58,0,0,0,2,3
446,Female,African-American,21,0,0,0,0,6
447,Male,Other,44,0,0,0,2,2
448,Male,African-American,56,0,0,0,13,8
449,Male,Caucasian,27,0,0,0,1,5
450,Male,African-American,21,0,0,0,1,5
451,Male,African-American,23,0,0,1,4,8
454,Male,African-American,27,1,0,1,4,8
456,Male,Caucasian,37,0,0,0,5,3
457,Male,Other,43,0,0,0,2,2
460,Female,African-American,33,0,0,0,2,3
461,Male,Hispanic,23,0,0,0,0,3
462,Male,African-American,27,0,0,0,0,1
463,Male,Caucasian,44,0,0,0,0,1
464,Male,Caucasian,28,0,0,0,3,3
465,Female,Caucasian,42,0,0,0,0,2
466,Male,African-American,48,0,0,0,5,5
467,Male,Other,24,0,1,0,9,10
469,Male,African-American,20,0,0,0,0,10
471,Male,African-American,24,0,0,0,1,8
472,Male,Caucasian,31,2,0,0,6,10
473,Male,African-American,22,0,1,0,2,5
474,Female,Caucasian,51,0,0,0,0,1
475,Male,Caucasian,56,0,0,0,0,1
476,Male,Caucasian,20,0,0,0,0,6
477,Male,African-American,54,0,0,0,1,3
478,Male,African-American,29,0,0,0,7,9
479,Male,Caucasian,42,0,0,0,0,4
481,Male,Caucasian,53,0,0,0,6,1
483,Male,Other,24,0,0,0,0,2
484,Male,Caucasian,27,0,0,0,8,5
485,Male,African-American,24,0,1,0,2,9
487,Male,Caucasian,53,0,0,0,36,6
491,Male,Hispanic,46,0,0,0,1,1
492,Male,Other,21,0,0,0,0,4
493,Male,African-American,45,0,0,0,1,1
494,Male,Hispanic,21,0,1,0,3,5
495,Female,African-American,36,0,0,0,0,7
496,Female,Caucasian,25,0,0,0,2,4
497,Female,Hispanic,23,0,0,0,1,3
498,Male,Hispanic,54,0,0,0,2,1
499,Male,Caucasian,28,0,0,0,1,5
500,Female,African-American,21,0,0,0,0,8
501,Male,Caucasian,36,0,0,0,0,3
502,Male,African-American,24,0,0,0,0,3
503,Male,African-American,28,0,0,0,3,6
504,Male,Other,30,0,0,0,1,2
505,Male,African-American,29,0,0,0,0,1
507,Male,African-American,31,0,0,0,8,9
508,Male,African-American,38,0,0,0,2,9
509,Female,Caucasian,30,0,0,0,0,6
510,Male,Hispanic,51,0,0,0,1,1
511,Male,Other,33,0,0,0,3,1
518,Male,African-American,47,0,0,0,3,3
520,Female,African-American,41,0,0,0,6,6
521,Female,Hispanic,32,0,0,0,1,3
522,Male,Caucasian,37,0,0,0,0,1
523,Male,African-American,19,0,2,0,2,10
525,Male,Other,39,0,0,0,0,1
526,Female,Caucasian,21,0,0,2,0,6
527,Male,Caucasian,69,0,0,0,0,1
528,Male,Caucasian,36,0,0,0,3,3
530,Male,Caucasian,21,0,0,0,2,6
531,Male,African-American,26,0,0,1,6,10
532,Male,Caucasian,22,0,0,0,0,4
533,Female,African-American,23,0,0,0,0,5
534,Male,African-American,20,1,0,0,1,7
536,Male,Caucasian,45,0,0,0,0,5
537,Male,African-American,49,0,0,0,3,5
538,Male,African-American,29,0,0,1,2,4
540,Female,Caucasian,60,0,0,0,0,1
541,Female,African-American,26,0,0,0,0,10
542,Male,African-American,23,2,0,0,3,10
543,Male,Hispanic,34,0,0,0,2,5
544,Male,Caucasian,30,0,0,0,0,1
545,Female,Other,20,1,0,0,1,4
546,Male,Hispanic,36,0,0,0,1,3
547,Male,Caucasian,30,0,0,0,0,4
548,Male,African-American,21,0,1,0,1,3
550,Male,Hispanic,25,0,0,0,1,7
551,Male,African-American,25,0,0,0,7,7
552,Male,Caucasian,22,0,0,0,2,6
553,Male,African-American,57,0,0,0,18,8
555,Male,African-American,36,0,0,0,1,1
557,Male,African-American,21,0,0,0,4,9
558,Male,African-American,21,0,0,0,0,5
559,Male,African-American,37,0,0,0,1,8
560,Male,Caucasian,33,0,0,0,3,1
561,Male,Caucasian,34,0,0,0,1,1
562,Male,Caucasian,27,0,0,0,0,2
563,Female,Caucasian,50,0,0,0,1,1
564,Male,African-American,26,0,0,0,1,3
565,Male,Caucasian,40,0,0,0,0,7
566,Male,African-American,25,0,0,0,7,8
569,Female,African-American,24,0,0,0,0,4
571,Male,Caucasian,39,0,0,0,2,4
572,Male,African-American,42,0,0,0,1,1
573,Male,African-American,28,0,0,0,1,3
574,Male,Caucasian,24,0,0,0,1,4
575,Female,Hispanic,23,0,0,0,0,4
576,Male,African-American,26,1,1,0,6,8
577,Male,African-American,42,0,0,0,3,5
578,Male,Caucasian,22,0,0,1,1,2
579,Male,African-American,22,0,0,0,4,9
580,Male,Caucasian,21,0,0,0,3,7
581,Male,African-American,37,0,0,0,23,9
582,Male,Caucasian,44,0,0,0,0,2
583,Male,Caucasian,64,0,0,0,13,9
586,Male,African-American,53,0,0,0,2,1
588,Male,African-American,29,0,0,0,7,4
589,Female,African-American,44,0,0,0,2,4
590,Male,Caucasian,48,1,0,0,23,8
591,Male,African-American,23,0,0,0,0,2
592,Male,Hispanic,48,0,0,0,8,4
594,Female,Caucasian,52,0,0,0,0,1
595,Male,African-American,44,0,0,0,7,2
596,Male,Other,28,0,0,0,1,5
597,Male,African-American,27,0,0,0,12,8
599,Male,Caucasian,33,0,0,0,3,3
600,Female,Hispanic,28,0,0,0,0,2
601,Male,Caucasian,47,0,0,0,5,10
602,Male,African-American,36,0,0,0,14,7
603,Male,African-American,29,1,0,0,2,5
604,Male,African-American,22,0,0,1,0,9
606,Male,Caucasian,40,0,0,0,0,1
608,Male,Caucasian,25,0,0,0,0,2
610,Female,Caucasian,32,0,0,0,1,4
611,Male,African-American,56,0,0,0,5,3
612,Male,African-American,27,0,0,0,9,8
613,Male,Caucasian,52,0,0,0,4,1
614,Female,African-American,31,0,0,0,0,2
618,Male,African-American,35,0,6,3,29,6
619,Male,African-American,31,0,0,0,4,8
620,Male,Caucasian,51,0,0,0,3,3
621,Male,Hispanic,23,0,0,0,1,3
622,Female,Caucasian,39,0,0,0,0,6
623,Male,Caucasian,56,0,0,0,0,1
624,Female,African-American,22,0,0,0,0,7
625,Female,African-American,27,0,0,0,1,2
627,Male,African-American,53,0,0,0,11,6
630,Male,Caucasian,22,0,0,0,0,3
631,Female,Hispanic,43,0,0,0,0,1
632,Female,Caucasian,59,0,0,0,0,1
633,Female,Caucasian,58,0,0,0,2,1
634,Male,African-American,53,0,0,0,4,1
635,Male,African-American,31,0,0,0,7,3
637,Male,Caucasian,22,0,0,0,1,5
638,Male,African-American,28,0,0,0,8,6
639,Male,Other,42,0,0,0,1,1
641,Male,Caucasian,29,0,0,0,0,6
642,Female,Caucasian,41,0,0,0,0,1
643,Male,African-American,29,0,0,0,8,10
644,Male,African-American,58,0,0,0,21,7
645,Male,African-American,22,0,0,0,3,7
646,Male,Hispanic,48,0,0,0,1,1
647,Male,Caucasian,37,0,0,0,0,4
649,Male,Caucasian,27,0,0,0,3,1
651,Male,African-American,26,0,0,0,3,4
654,Male,Caucasian,33,0,0,0,0,1
655,Male,Caucasian,28,0,0,0,1,2
656,Male,African-American,29,0,0,0,2,6
657,Female,African-American,24,0,0,0,3,10
658,Male,Caucasian,24,0,0,0,0,1
659,Male,Caucasian,19,0,0,1,1,10
660,Male,Caucasian,36,0,0,0,2,1
661,Male,Other,33,0,0,0,0,1
662,Female,Caucasian,24,0,0,0,0,5
663,Male,Caucasian,32,0,0,0,0,1
664,Male,Caucasian,34,0,0,0,0,1
665,Male,African-American,31,0,0,0,1,1
668,Male,Hispanic,25,0,0,0,2,5
669,Male,African-American,20,1,0,1,1,10
672,Male,African-American,22,0,0,0,1,3
677,Female,Caucasian,27,0,0,0,1,4
679,Male,African-American,30,0,0,0,1,1
680,Male,African-American,38,0,0,0,5,3
682,Male,African-American,27,1,0,0,2,8
684,Male,African-American,45,0,0,0,16,2
685,Female,African-American,46,0,0,0,2,10
687,Male,Other,20,0,0,1,0,8
688,Male,African-American,27,0,0,0,13,8
689,Female,African-American,51,0,0,0,16,8
691,Male,African-American,26,0,0,0,1,6
692,Male,African-American,29,0,0,0,3,5
693,Male,Caucasian,52,0,0,0,6,5
694,Male,Caucasian,28,0,0,0,1,4
697,Male,African-American,55,0,0,0,5,3
698,Male,Caucasian,46,0,0,0,2,2
700,Male,African-American,26,1,1,0,10,9
701,Male,African-American,28,0,0,0,5,10
703,Male,Caucasian,63,0,0,0,2,1
704,Male,African-American,42,0,0,0,0,1
706,Male,African-American,57,0,0,0,2,1
707,Male,African-American,23,1,2,2,6,6
708,Male,African-American,54,0,0,0,28,9
712,Male,African-American,54,0,0,0,2,1
713,Male,African-American,58,0,0,0,12,6
714,Male,Hispanic,40,0,0,0,1,1
715,Male,Caucasian,23,0,0,1,1,5
716,Male,African-American,35,0,0,0,1,2
717,Male,African-American,53,0,0,0,17,6
718,Male,African-American,20,0,0,0,1,10
719,Male,African-American,24,0,0,0,1,4
721,Male,Hispanic,24,0,0,0,0,10
722,Male,Caucasian,37,0,0,0,3,2
723,Female,African-American,46,0,0,0,0,1
724,Male,Caucasian,47,0,0,0,3,1
725,Male,African-American,44,0,0,0,3,4
726,Male,Caucasian,34,0,0,0,4,6
727,Male,Caucasian,56,0,0,0,0,1
728,Male,Hispanic,34,0,0,0,4,1
730,Male,Other,35,0,0,0,0,6
731,Male,Hispanic,58,0,0,0,1,1
732,Male,Hispanic,29,0,0,0,2,4
733,Female,Caucasian,53,0,0,0,1,1
734,Male,African-American,35,0,0,0,0,5
735,Male,Caucasian,29,0,0,0,1,3
736,Male,African-American,30,0,0,0,4,1
737,Female,Caucasian,24,0,0,1,6,9
738,Male,Caucasian,21,0,0,4,2,9
740,Male,Other,50,0,0,0,5,7
743,Male,African-American,26,0,0,0,1,2
744,Male,African-American,49,2,0,1,18,7
745,Female,Caucasian,30,0,0,0,0,2
746,Male,African-American,31,1,0,0,6,5
747,Male,Caucasian,37,0,0,0,5,3
749,Female,Caucasian,60,0,0,0,5,4
750,Male,Caucasian,29,0,0,0,6,9
751,Male,Hispanic,55,0,0,0,0,1
752,Male,Caucasian,29,0,0,0,0,4
753,Male,African-American,54,0,0,0,0,1
754,Male,African-American,29,0,0,0,4,4
755,Male,African-American,29,0,0,0,12,8
756,Female,Caucasian,59,0,0,0,0,1
757,Male,African-American,38,0,0,0,0,5
759,Male,Caucasian,27,0,0,0,1,-1
760,Male,African-American,29,0,0,0,4,7
762,Male,Caucasian,27,0,0,0,1,3
763,Male,Hispanic,26,0,0,0,7,5
764,Male,Hispanic,52,0,0,0,20,3
768,Male,African-American,22,0,0,0,0,10
770,Male,Caucasian,51,0,0,0,1,1
771,Male,Caucasian,35,0,0,0,1,2
772,Male,Caucasian,71,0,0,0,2,1
773,Male,African-American,36,0,0,0,0,1
775,Male,Caucasian,52,0,0,0,4,3
778,Male,Caucasian,30,0,0,0,1,5
780,Male,African-American,25,2,0,1,2,8
781,Male,Other,48,0,0,0,12,5
782,Male,African-American,55,0,0,0,1,9
783,Female,Hispanic,62,0,0,0,0,1
784,Female,Caucasian,34,0,0,0,4,6
785,Female,African-American,26,0,0,0,0,2
786,Female,Caucasian,48,0,0,0,0,1
787,Male,Hispanic,30,0,0,0,7,4
788,Male,Other,28,0,0,0,2,1
789,Male,African-American,33,0,0,0,2,3
790,Female,African-American,34,0,0,0,6,4
791,Female,African-American,22,0,0,0,1,9
792,Male,Other,25,0,0,0,0,1
793,Male,African-American,59,0,0,0,10,7
794,Male,African-American,29,0,0,0,5,5
795,Male,Other,42,0,0,0,0,1
796,Male,Caucasian,24,0,0,0,0,2
797,Male,Caucasian,58,0,0,0,0,1
798,Male,Caucasian,48,0,0,0,1,7
799,Female,Caucasian,54,0,0,0,2,1
800,Male,African-American,55,0,0,0,0,8
801,Male,African-American,30,0,0,1,0,2
802,Male,Caucasian,24,0,0,0,3,5
803,Male,African-American,52,0,0,0,4,5
804,Male,African-American,20,0,0,0,0,4
805,Male,Caucasian,25,0,0,0,4,4
806,Male,Caucasian,24,0,0,0,0,2
809,Male,African-American,53,0,0,0,1,1
810,Male,African-American,25,0,1,0,1,3
811,Female,Other,29,0,0,0,0,2
812,Male,African-American,31,0,0,0,0,2
813,Male,African-American,25,0,1,0,6,4
814,Male,Caucasian,32,0,0,0,1,1
815,Male,Caucasian,21,0,0,0,0,3
816,Male,Caucasian,45,0,0,0,10,5
817,Male,Other,37,0,0,0,1,1
818,Male,Caucasian,25,0,0,0,0,3
819,Male,African-American,21,0,0,0,0,3
821,Male,African-American,35,0,0,0,0,7
822,Male,Caucasian,34,1,0,0,28,10
825,Male,Caucasian,24,0,0,1,9,10
827,Male,African-American,35,0,0,0,6,7
829,Male,Caucasian,22,1,0,4,6,10
830,Male,Hispanic,21,0,0,0,0,6
831,Male,Caucasian,47,0,0,0,1,1
832,Male,Caucasian,71,0,0,0,0,1
833,Female,African-American,21,0,0,0,0,4
834,Male,Caucasian,68,0,0,0,0,1
836,Male,Hispanic,43,0,0,0,2,1
