person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid
7976,Male,Caucasian,37,0,0,0,8,1
1130,Male,Caucasian,30,0,0,0,22,1
3321,Female,Hispanic,38,0,0,0,1,0
5832,Male,Caucasian,46,0,0,0,1,0
3253,Male,Hispanic,51,0,0,0,0,0
7604,Male,Caucasian,59,0,0,0,0,0
1839,Male,African-American,39,0,0,0,8,0
6175,Male,African-American,26,0,0,0,2,0
11216,Male,African-American,40,0,0,0,1,0
5126,Male,African-American,43,0,0,0,7,0
6795,Male,African-American,72,0,0,0,8,0
4042,Male,Caucasian,57,0,0,0,1,0
376,Male,African-American,22,0,0,0,3,1
11183,Male,Caucasian,30,0,0,0,5,0
9511,Male,Hispanic,30,0,0,0,0,0
10245,Male,Hispanic,55,0,0,0,2,0
5574,Male,African-American,27,0,0,0,2,1
5779,Female,African-American,36,2,0,0,4,1
7873,Male,Hispanic,56,0,0,0,0,0
6263,Male,Caucasian,48,1,0,0,15,0
7996,Female,African-American,23,0,0,0,0,0
8264,Male,African-American,30,0,0,0,1,1
4362,Male,Other,40,0,0,0,4,1
3675,Male,African-American,37,0,0,0,9,1
9258,Male,Caucasian,45,0,0,0,0,0
9558,Female,Caucasian,29,0,0,0,5,0
3906,Male,African-American,29,0,0,0,13,1
4565,Male,Caucasian,46,0,0,0,2,0
7254,Male,Caucasian,20,0,0,0,0,1
7762,Male,Caucasian,27,0,0,0,1,1
5606,Male,African-American,21,0,0,0,0,0
10704,Male,African-American,43,0,0,0,17,0
6221,Male,Caucasian,38,0,0,0,2,0
3141,Female,Caucasian,41,0,0,0,0,0
2914,Male,African-American,29,0,0,0,1,0
3431,Female,African-American,28,0,0,0,0,0
2915,Male,Caucasian,38,0,0,0,2,1
6224,Male,Hispanic,24,0,0,0,1,0
9324,Female,Caucasian,28,0,0,0,2,1
3601,Female,African-American,28,0,0,0,10,1
8244,Male,African-American,35,0,0,0,1,0
2284,Male,Caucasian,33,0,0,0,0,0
10821,Male,African-American,30,1,0,2,8,1
7931,Male,African-American,30,0,0,0,4,0
3596,Male,Caucasian,57,0,0,0,0,0
10795,Male,African-American,28,0,0,0,2,1
2571,Male,African-American,24,0,1,0,4,1
8039,Male,Caucasian,42,0,0,0,1,0
7728,Male,African-American,34,2,0,0,8,1
11413,Male,African-American,25,0,0,0,2,1
8832,Male,African-American,24,0,0,2,2,1
8221,Male,African-American,34,0,4,0,7,0
4982,Male,Caucasian,38,0,0,0,2,0
8665,Male,African-American,36,0,0,0,7,1
6127,Male,African-American,44,0,0,0,0,0
8194,Male,Caucasian,29,0,0,0,1,0
8518,Male,African-American,21,0,0,1,1,1
3379,Male,Other,21,0,0,0,1,0
7640,Male,Caucasian,37,0,0,0,1,1
3689,Male,African-American,29,0,0,0,1,0
7153,Male,African-American,21,0,0,0,0,0
5882,Male,African-American,44,0,0,0,0,1
2659,Male,Caucasian,37,0,0,0,1,0
3780,Male,Caucasian,24,0,0,0,2,0
9509,Male,African-American,27,0,0,0,9,1
7179,Male,Caucasian,67,0,0,0,5,0
8886,Male,African-American,31,0,0,0,7,0
1880,Male,Other,20,0,8,1,8,1
2586,Male,Caucasian,40,0,0,0,1,0
1214,Male,African-American,26,0,0,0,3,0
11663,Male,Other,49,0,0,0,0,0
9652,Male,Caucasian,63,0,0,0,3,0
2053,Male,African-American,23,0,0,0,0,0
62,Male,Caucasian,28,0,0,0,8,0
5663,Male,Caucasian,33,0,0,0,2,0
6363,Male,African-American,23,0,0,0,2,0
2878,Male,Caucasian,42,0,0,0,0,0
1713,Male,African-American,23,0,0,1,1,0
6724,Male,African-American,21,0,0,0,0,0
6886,Male,African-American,51,0,0,0,17,1
8298,Male,Caucasian,30,0,0,0,0,0
1617,Male,Caucasian,35,0,0,0,2,0
10471,Male,African-American,52,0,0,0,23,1
3611,Male,Caucasian,61,0,0,0,10,0
11270,Male,Caucasian,23,0,0,0,2,1
2230,Female,Caucasian,24,0,0,0,0,0
8004,Male,Caucasian,31,0,0,3,9,1
11030,Male,Caucasian,48,0,0,0,1,0
1955,Male,Hispanic,60,0,0,0,1,0
1947,Male,Caucasian,32,0,0,0,7,0
5204,Female,African-American,31,0,2,0,10,0
5324,Male,Caucasian,58,0,0,0,1,1
6559,Male,Hispanic,70,0,0,0,0,0
8051,Female,Caucasian,54,0,0,0,1,0
7659,Male,Caucasian,33,0,0,0,1,0
7967,Male,Caucasian,42,0,0,0,0,0
4641,Female,Caucasian,35,0,0,0,1,0
1344,Male,African-American,51,0,0,0,3,0
2206,Male,African-American,30,0,0,0,2,0
11327,Male,Caucasian,51,0,0,0,2,0
445,Male,Caucasian,58,0,0,0,2,0
4517,Female,African-American,22,0,0,0,0,0
9318,Male,African-American,30,0,0,0,10,1
7581,Male,African-American,27,0,0,0,0,1
10200,Female,Caucasian,45,0,0,0,1,0
6519,Male,Caucasian,29,0,0,0,1,0
2368,Female,African-American,21,0,0,0,4,0
6853,Female,Hispanic,58,0,0,0,1,0
3262,Female,African-American,26,0,0,0,9,1
1017,Male,Caucasian,33,0,0,0,5,0
3381,Male,African-American,29,0,0,0,1,1
6455,Female,African-American,20,0,0,0,0,0
429,Male,African-American,21,0,0,0,0,1
7916,Male,African-American,25,0,0,0,0,0
6713,Male,Other,34,0,0,0,0,0
8713,Male,Caucasian,22,0,0,0,3,0
5911,Male,African-American,39,1,0,0,6,0
6645,Female,African-American,37,0,0,0,3,0
897,Male,African-American,21,4,0,0,4,1
9736,Male,African-American,55,0,0,0,10,0
8761,Male,Caucasian,32,0,0,0,4,1
2845,Male,Caucasian,46,0,0,0,10,1
4885,Female,African-American,32,0,0,0,3,0
10637,Male,Caucasian,43,0,0,0,6,1
5488,Male,Caucasian,33,0,0,0,1,0
11092,Male,Caucasian,29,0,0,0,5,0
2089,Male,African-American,29,0,0,0,0,0
11695,Male,African-American,33,0,0,0,14,0
6662,Male,African-American,41,0,0,0,0,0
627,Male,African-American,53,0,0,0,11,0
3373,Male,Caucasian,33,0,0,0,1,0
3964,Male,African-American,58,0,0,0,2,0
6325,Male,Other,27,0,0,2,2,0
1209,Male,Caucasian,20,0,0,2,0,0
11684,Male,African-American,45,0,0,0,7,1
7141,Male,Caucasian,41,0,0,0,1,0
4513,Male,Other,24,0,0,0,1,1
7679,Male,Caucasian,58,0,0,0,2,1
4506,Male,African-American,34,3,0,0,8,0
10682,Female,Hispanic,33,0,0,0,2,0
1357,Male,Other,47,0,0,0,2,0
11055,Female,African-American,57,0,0,0,3,0
659,Male,Caucasian,19,0,0,1,1,1
11432,Male,African-American,35,1,0,0,8,0
8011,Male,African-American,23,0,0,1,1,0
2364,Male,African-American,21,0,0,0,2,0
9394,Male,Caucasian,29,0,0,0,4,0
9044,Male,African-American,22,0,0,0,1,1
2569,Male,Caucasian,26,0,0,0,0,0
3730,Male,Hispanic,24,0,0,0,0,1
3635,Female,African-American,24,0,0,0,2,0
11563,Male,African-American,24,0,0,0,1,0
2204,Male,African-American,21,0,0,0,1,0
9439,Male,African-American,28,0,0,0,2,1
10070,Male,Caucasian,57,0,0,0,1,0
65,Male,Other,29,0,0,0,0,0
10418,Female,Caucasian,26,0,0,0,0,0
11101,Male,Caucasian,59,0,0,0,5,1
1081,Male,African-American,44,0,0,1,1,0
6360,Male,Caucasian,39,0,0,0,0,0
5563,Male,Caucasian,33,0,0,0,0,1
8660,Male,African-American,30,0,0,0,7,0
3634,Male,Caucasian,39,0,0,0,0,0
436,Female,African-American,32,0,0,0,3,0
1626,Male,African-American,26,0,0,0,0,1
6721,Female,African-American,37,0,0,0,0,0
8774,Male,Caucasian,38,0,0,0,3,0
8596,Male,African-American,38,0,0,0,2,1
3095,Female,Caucasian,49,0,0,0,1,0
10961,Male,African-American,43,0,0,0,1,0
2216,Male,African-American,44,0,0,0,2,0
11672,Male,Caucasian,27,0,0,1,0,0
10287,Female,Caucasian,59,0,0,0,2,0
4878,Male,Hispanic,26,0,0,0,2,0
2297,Male,Caucasian,21,0,0,0,5,1
4964,Male,African-American,40,0,0,0,3,1
10756,Male,Caucasian,26,0,0,0,0,0
4794,Male,African-American,28,0,0,0,9,1
5047,Male,African-American,39,0,0,0,3,0
7515,Male,African-American,23,0,0,1,1,1
3110,Male,Caucasian,21,0,0,1,0,1
8590,Female,Hispanic,26,0,0,0,0,0
6915,Male,African-American,30,0,1,0,9,1
6585,Male,African-American,29,1,0,0,3,1
6096,Male,African-American,20,0,0,1,1,1
8795,Male,African-American,33,0,0,0,3,0
5788,Male,Other,55,0,0,0,2,0
9709,Female,African-American,21,0,0,0,1,0
1524,Male,Caucasian,55,0,0,0,0,0
1332,Male,Other,33,0,0,0,4,1
8908,Male,African-American,38,0,0,0,5,0
10679,Male,Caucasian,76,0,0,0,1,0
6917,Male,Other,45,0,0,0,2,0
3119,Male,African-American,20,0,0,0,2,0
8759,Female,African-American,36,0,0,0,4,0
9623,Male,Caucasian,52,1,0,0,18,0
9858,Male,Hispanic,27,0,0,0,1,0
10353,Male,African-American,38,0,0,0,2,0
7047,Male,Native American,40,0,0,0,2,0
8230,Male,Caucasian,56,0,0,0,2,0
8628,Male,African-American,54,0,0,0,6,0
2628,Female,Hispanic,22,0,0,0,0,0
4321,Male,African-American,38,0,4,2,12,0
7768,Male,Caucasian,45,0,0,0,1,0
1459,Male,African-American,38,0,0,0,2,0
769,Male,Caucasian,27,0,0,0,2,0
3620,Female,Caucasian,53,0,0,0,0,0
760,Male,African-American,29,0,0,0,4,1
9045,Male,Caucasian,46,0,0,0,0,0
5129,Male,African-American,23,0,1,0,5,0
5726,Female,Caucasian,48,0,0,0,1,1
6946,Male,African-American,22,0,1,0,2,1
9677,Male,African-American,33,0,0,0,0,0
3493,Male,African-American,26,0,0,0,2,0
5053,Male,African-American,21,0,0,0,1,1
3276,Male,African-American,26,0,0,0,0,0
2689,Female,African-American,28,0,0,0,2,0
405,Male,Caucasian,27,0,0,0,0,1
7531,Male,African-American,30,0,0,0,3,1
7186,Female,Caucasian,39,0,0,0,1,0
2544,Male,Caucasian,44,0,0,0,13,1
8858,Male,African-American,22,0,1,3,2,0
10073,Male,African-American,37,0,0,0,2,0
9788,Male,African-American,55,0,0,0,12,0
8957,Male,African-American,22,0,0,0,1,1
475,Male,Caucasian,56,0,0,0,0,0
9038,Female,African-American,33,0,0,0,1,0
7915,Male,African-American,25,0,0,0,0,0
6931,Male,African-American,31,0,0,0,0,0
1194,Male,Other,36,0,0,0,0,0
310,Female,African-American,28,0,0,0,0,0
4100,Male,Caucasian,24,0,0,0,3,1
3064,Male,Caucasian,42,0,0,0,1,0
1088,Male,Caucasian,62,0,0,0,0,0
579,Male,African-American,22,0,0,0,4,1
4317,Male,African-American,25,0,0,0,1,0
4198,Male,African-American,37,0,0,0,22,1
9143,Male,Caucasian,20,0,0,2,0,0
8680,Male,Caucasian,37,0,0,0,0,0
11602,Male,Other,21,0,0,0,0,0
2305,Female,African-American,33,0,0,0,5,0
9537,Male,Hispanic,33,0,0,0,0,0
10963,Male,Caucasian,42,0,0,0,5,0
5207,Female,Caucasian,37,0,0,0,2,1
5958,Male,African-American,21,0,0,0,1,1
558,Male,African-American,21,0,0,0,0,1
7778,Male,Caucasian,36,0,0,0,1,0
10099,Male,Hispanic,35,0,0,0,1,0
2072,Female,Caucasian,66,0,0,0,1,0
10286,Male,African-American,27,0,0,2,20,0
9579,Male,African-American,33,0,0,0,3,0
11616,Male,Caucasian,58,0,0,0,1,0
11665,Female,African-American,39,0,0,0,0,0
9758,Male,Caucasian,29,0,0,0,6,1
5093,Male,Caucasian,24,0,0,0,0,0
1891,Male,African-American,37,0,0,0,1,0
9805,Male,African-American,25,1,1,0,2,1
10706,Male,African-American,42,0,0,0,0,0
10447,Male,Caucasian,52,0,0,0,1,0
759,Male,Caucasian,27,0,0,0,1,0
8216,Male,African-American,27,0,0,0,3,0
6122,Male,African-American,21,0,0,0,1,0
8003,Male,Caucasian,41,0,0,0,0,0
4223,Female,African-American,30,0,0,0,9,1
10842,Male,African-American,20,1,0,0,1,0
10357,Male,Caucasian,36,0,0,0,1,0
2904,Male,African-American,59,0,0,0,2,0
8802,Female,African-American,28,0,0,0,5,0
8502,Male,Caucasian,52,0,0,0,3,0
8081,Male,Caucasian,33,0,0,0,3,1
396,Male,African-American,20,0,0,0,0,0
10577,Male,Caucasian,59,0,0,0,0,1
8611,Male,African-American,27,0,0,0,7,1
7173,Male,Other,30,0,0,0,2,0
1021,Male,Other,28,0,0,0,0,0
1488,Male,African-American,32,0,1,0,5,1
6978,Male,Other,41,0,0,0,0,0
6409,Male,African-American,31,0,0,0,0,1
8913,Male,African-American,25,0,2,0,6,0
10693,Male,Other,53,0,0,0,0,0
2080,Male,African-American,25,0,0,0,1,0
8727,Male,Caucasian,44,0,0,0,4,0
11071,Female,African-American,26,0,0,0,0,1
2907,Male,African-American,22,0,0,0,3,1
5617,Male,Caucasian,58,0,0,0,1,0
11570,Male,Caucasian,27,0,0,0,1,0
20,Male,African-American,31,0,0,0,7,1
11380,Male,Hispanic,21,2,2,1,4,0
6568,Male,Caucasian,27,0,0,0,1,0
5752,Male,African-American,19,0,0,0,1,0
6334,Female,African-American,28,0,0,0,1,0
11204,Male,Hispanic,38,0,0,0,14,0
11279,Male,African-American,22,0,0,0,0,0
2201,Female,Caucasian,60,0,0,0,2,0
8226,Male,Caucasian,39,0,0,0,3,1
9431,Male,Hispanic,41,0,0,0,1,0
7561,Male,Caucasian,33,0,0,0,10,0
4133,Male,African-American,20,0,0,1,2,0
7924,Male,Native American,25,0,0,0,1,0
6246,Male,Other,41,0,0,0,0,0
8420,Male,Caucasian,28,0,0,0,1,0
935,Male,Caucasian,51,0,0,0,0,0
5674,Female,Hispanic,25,0,0,1,0,0
8287,Female,Caucasian,21,0,3,1,3,1
5891,Male,Caucasian,41,0,0,0,0,0
7185,Male,Hispanic,60,0,0,0,0,0
3667,Male,African-American,26,0,0,0,1,0
7124,Male,Caucasian,36,0,0,0,4,1
288,Male,Caucasian,39,0,0,0,0,1
7271,Female,Caucasian,46,0,0,0,0,0
10879,Male,Caucasian,49,0,0,0,0,0
1041,Female,African-American,32,0,0,0,2,0
8099,Male,Caucasian,28,0,0,0,0,0
5560,Male,Hispanic,53,0,0,0,1,0
1729,Male,African-American,39,0,0,0,1,1
1933,Male,African-American,26,0,0,0,2,0
8679,Male,African-American,27,0,0,0,2,0
8062,Male,African-American,51,0,0,0,15,1
8183,Male,Caucasian,53,0,0,0,3,1
9835,Female,African-American,53,0,0,0,3,0
1166,Male,African-American,27,0,0,0,4,1
1672,Female,African-American,20,0,0,0,0,0
9214,Male,African-American,23,0,0,0,0,0
3537,Female,African-American,26,0,0,0,4,0
2484,Male,Caucasian,50,0,0,0,0,0
685,Female,African-American,46,0,0,0,2,1
2270,Female,Hispanic,46,0,0,0,0,0
7792,Female,African-American,25,0,0,0,4,0
9723,Male,African-American,23,0,0,0,0,0
1861,Male,African-American,36,0,0,0,1,1
9866,Male,African-American,29,0,0,0,2,0
482,Male,African-American,48,0,0,0,8,0
4901,Male,African-American,23,0,0,0,4,0
2670,Male,Other,63,0,0,0,0,0
7202,Male,African-American,32,0,0,0,2,0
6708,Male,African-American,31,0,0,0,2,1
4625,Male,Caucasian,27,0,0,0,5,0
7368,Female,African-American,34,0,0,0,1,0
10290,Male,African-American,31,0,0,1,5,1
4844,Female,African-American,24,0,0,0,1,0
11374,Female,African-American,38,0,0,0,25,0
5297,Female,African-American,30,0,0,0,15,1
9190,Female,Caucasian,38,0,0,0,0,0
4852,Male,African-American,31,0,0,0,1,0
8992,Male,Caucasian,33,0,0,0,9,1
11750,Male,African-American,56,0,0,0,0,0
3793,Male,Caucasian,36,0,0,0,1,1
9409,Male,African-American,31,0,0,0,7,0
7465,Male,Caucasian,22,0,0,0,0,0
2667,Male,Caucasian,24,0,0,0,0,0
3619,Male,African-American,39,0,0,0,4,0
86,Female,Hispanic,31,0,0,0,0,0
10062,Female,Caucasian,27,0,0,0,2,1
7010,Male,African-American,54,0,0,0,4,1
2060,Male,African-American,31,0,0,0,3,1
9056,Male,African-American,63,0,0,0,9,1
5401,Male,Other,38,0,0,0,8,0
5114,Male,Caucasian,50,0,0,0,26,1
354,Male,African-American,22,0,0,0,0,0
5656,Male,Caucasian,25,2,12,7,19,0
5565,Male,African-American,39,0,0,0,0,0
8274,Male,Hispanic,43,0,0,0,6,0
2394,Male,Caucasian,42,0,0,0,2,1
4171,Male,African-American,21,0,0,0,0,0
3670,Male,African-American,42,0,0,0,5,0
5589,Male,African-American,37,0,0,0,0,0
2564,Male,Other,35,0,0,0,3,1
4721,Male,African-American,23,0,0,0,2,1
2097,Male,African-American,34,0,0,0,2,0
9643,Male,Caucasian,43,0,0,0,0,0
5789,Female,Hispanic,53,0,0,0,0,0
9820,Male,African-American,29,0,0,0,2,0
1985,Male,Caucasian,65,0,0,0,2,0
11611,Male,Other,31,0,0,0,0,0
457,Male,Other,43,0,0,0,2,1
11541,Female,African-American,26,0,0,0,8,0
6694,Male,Native American,50,0,0,0,0,0
8708,Male,African-American,44,0,0,0,12,0
3500,Male,Caucasian,25,0,0,0,2,0
449,Male,Caucasian,27,0,0,0,1,0
9369,Male,African-American,31,0,0,0,1,0
8299,Male,African-American,27,0,0,0,2,0
7832,Male,African-American,40,0,0,0,8,1
9871,Male,Caucasian,39,0,0,0,2,0
1496,Male,African-American,23,0,0,0,2,1
5048,Female,African-American,26,0,0,0,5,1
3034,Female,African-American,33,0,0,0,1,0
8159,Male,Caucasian,49,0,0,0,0,0
7150,Female,African-American,22,0,0,0,0,1
9536,Female,African-American,37,0,0,0,23,1
1168,Female,Caucasian,32,0,0,0,0,0
9075,Female,Hispanic,35,0,0,0,0,0
6433,Female,Caucasian,29,0,0,0,1,1
8663,Male,Other,26,0,0,0,1,1
4277,Female,African-American,22,0,0,1,0,0
4163,Female,Caucasian,30,0,0,0,0,1
2968,Male,African-American,31,0,0,0,4,1
11707,Male,Other,29,0,0,0,1,0
11360,Male,Hispanic,23,0,0,0,0,0
7008,Male,African-American,45,1,0,0,12,1
3656,Male,African-American,22,0,0,0,0,0
5512,Male,Hispanic,48,0,0,0,1,0
648,Male,African-American,57,0,0,0,1,1
1824,Male,African-American,20,0,0,2,1,0
5313,Male,Caucasian,30,0,0,0,0,1
8768,Male,African-American,21,0,0,0,1,0
2547,Male,African-American,32,0,1,1,8,0
4516,Male,Caucasian,45,0,0,0,1,1
4069,Male,Caucasian,24,0,0,2,3,1
5307,Male,African-American,36,0,0,0,4,0
6425,Female,African-American,30,0,0,0,2,0
9575,Male,Caucasian,30,0,0,0,9,0
6595,Male,African-American,40,0,0,0,0,0
1284,Male,Caucasian,42,0,0,0,5,0
8542,Male,Other,44,0,0,0,1,0
5202,Male,Hispanic,39,0,0,0,1,0
6238,Male,Hispanic,44,0,0,0,2,0
2857,Male,African-American,25,0,0,1,2,0
639,Male,Other,42,0,0,0,1,0
2492,Male,Caucasian,51,0,0,0,10,0
9003,Male,African-American,38,1,0,0,6,0
3412,Male,Caucasian,25,0,0,0,0,0
10910,Male,Hispanic,31,0,0,0,1,0
9292,Male,African-American,39,0,0,0,4,0
10232,Male,African-American,39,0,0,0,2,1
5774,Male,Caucasian,57,0,0,0,1,0
8639,Female,African-American,21,0,1,0,2,1
7905,Male,Other,30,0,0,0,0,0
8304,Female,Caucasian,27,0,0,0,6,0
4137,Male,Caucasian,23,0,0,0,3,1
2404,Male,African-American,36,2,0,0,5,0
1853,Male,Caucasian,38,0,0,0,0,0
8340,Male,Caucasian,45,0,0,0,0,0
4048,Male,Caucasian,33,0,0,0,3,1
1594,Female,African-American,21,0,0,0,0,0
3599,Female,Other,40,0,0,0,4,0
8438,Female,Caucasian,34,0,0,0,12,1
4708,Male,African-American,31,0,0,0,4,0
1830,Male,African-American,20,0,0,0,0,1
8991,Male,African-American,29,0,4,1,15,1
6711,Male,Caucasian,24,0,0,0,3,0
5838,Male,Caucasian,33,0,0,0,0,1
1135,Male,Caucasian,24,0,0,0,1,0
768,Male,African-American,22,0,0,0,0,0
3740,Female,African-American,22,0,0,0,2,0
6113,Male,African-American,46,0,0,0,1,1
11582,Male,African-American,33,1,0,0,8,0
8801,Male,Caucasian,27,0,0,0,2,0
1550,Male,Caucasian,60,0,0,0,1,0
3013,Male,Hispanic,39,0,0,0,0,0
4211,Male,Other,46,0,0,0,0,0
5938,Male,African-American,25,0,0,0,4,1
10399,Male,Caucasian,34,0,0,0,1,0
1003,Male,African-American,35,0,0,1,1,1
7639,Male,African-American,32,0,0,0,0,0
7542,Female,African-American,66,0,0,0,11,1
2105,Male,Hispanic,51,0,0,0,1,0
1497,Male,Caucasian,32,1,0,0,8,1
8656,Female,African-American,22,0,1,0,1,0
7453,Male,African-American,26,0,0,0,1,0
6442,Male,African-American,24,0,0,0,1,1
9216,Male,Caucasian,66,0,0,0,0,0
1643,Male,Caucasian,26,0,0,0,0,0
2876,Female,African-American,23,0,0,0,4,1
863,Male,Caucasian,40,0,0,0,5,0
1085,Male,Other,40,0,0,0,0,0
6472,Male,Other,25,0,0,0,3,0
583,Male,Caucasian,64,0,0,0,13,0
228,Female,African-American,33,0,0,0,7,1
9818,Male,Caucasian,49,0,0,0,10,1
2561,Female,Caucasian,30,0,0,0,2,1
11682,Male,African-American,43,0,0,0,6,1
10928,Male,African-American,59,0,0,0,5,0
966,Male,Caucasian,51,0,0,0,1,0
4021,Male,African-American,39,0,0,0,1,0
2552,Male,Caucasian,34,0,0,0,0,0
5087,Male,Caucasian,28,0,0,0,1,0
3474,Male,Caucasian,36,0,0,0,4,1
6843,Male,Caucasian,31,0,0,0,1,0
169,Male,Caucasian,38,0,0,0,5,1
9631,Female,Caucasian,24,0,0,4,1,0
5991,Male,Other,66,0,0,0,0,0
3387,Male,African-American,52,0,0,0,1,1
4608,Male,African-American,20,0,1,1,1,1
5978,Male,African-American,28,0,0,0,5,0
10820,Male,Caucasian,29,0,0,0,2,0
1533,Male,African-American,39,0,0,0,1,0
7292,Female,African-American,35,0,0,0,13,0
1470,Male,African-American,54,0,0,0,4,1
7445,Male,Hispanic,31,0,0,0,1,1
10875,Male,Asian,26,0,0,0,2,1
8839,Male,African-American,21,0,0,0,1,0
126,Male,Caucasian,22,0,0,0,3,0
266,Male,Hispanic,54,0,0,0,2,0
11312,Male,Caucasian,78,0,0,0,1,0
11451,Male,Caucasian,38,0,0,0,0,0
7943,Male,Hispanic,52,0,0,0,0,0
7670,Male,African-American,26,0,0,0,4,1
2375,Male,Caucasian,32,0,0,0,0,0
6077,Male,Caucasian,23,0,0,0,0,0
1889,Male,Caucasian,19,0,0,1,0,0
9679,Male,African-American,22,0,0,0,2,0
3517,Male,Hispanic,49,0,0,0,1,1
10349,Male,African-American,28,0,0,0,1,1
3460,Male,African-American,24,0,0,0,3,1
6617,Male,African-American,42,0,0,0,1,0
6541,Male,Caucasian,19,1,3,2,5,1
2936,Male,African-American,27,0,1,0,1,0
10613,Male,Other,47,0,0,0,0,0
6894,Male,African-American,29,0,0,0,2,0
4768,Male,Caucasian,22,0,0,0,2,0
3335,Female,Hispanic,30,0,0,0,0,1
7112,Male,African-American,55,0,0,0,10,1
2772,Male,African-American,23,0,0,0,2,1
1724,Male,Caucasian,53,0,0,0,1,1
1685,Male,Hispanic,24,0,0,0,0,1
7884,Male,Caucasian,39,0,0,0,17,1
11304,Male,Caucasian,27,0,0,0,0,0
9676,Male,African-American,37,0,0,0,2,0
8150,Female,African-American,27,0,0,0,2,0
8496,Male,Caucasian,20,0,0,3,0,1
9310,Male,Caucasian,56,0,0,0,5,0
11667,Male,African-American,33,0,0,0,0,0
7540,Male,African-American,31,0,0,0,6,1
8182,Male,African-American,24,0,0,0,1,0
2751,Female,Hispanic,46,0,0,0,2,0
1398,Female,Other,29,0,0,0,0,0
5182,Male,Caucasian,52,0,0,0,1,0
1395,Male,African-American,21,0,0,0,2,1
9583,Male,Caucasian,49,0,0,0,0,0
154,Female,Caucasian,39,0,0,0,0,1
4928,Male,Other,25,0,0,0,1,0
11594,Male,Caucasian,55,0,0,0,0,0
